entry_date,exit_date,symbol,entry_price,exit_price,qty,holding_period_days,realized_pnl_dollars,position_notional,pct_of_equity_at_entry,realized_pnl_pct_of_equity_at_entry,strategy_tag
2023-01-20 00:00:00+00:00,2023-02-01 00:00:00+00:00,XLP,72.162,74.4919,138,12,320.1494,9958.36,0.099614,0.003202,mr_etf
2023-02-13 00:00:00+00:00,2023-02-21 00:00:00+00:00,HYG,74.8611,73.4961,133,8,-182.8819,9956.53,0.09953,-0.001828,mr_etf
2023-02-08 00:00:00+00:00,2023-02-24 00:00:00+00:00,SLV,20.6169,19.2781,486,16,-655.5186,10019.83,0.10004,-0.006545,mr_etf
2023-02-22 00:00:00+00:00,2023-03-09 00:00:00+00:00,XLF,35.6673,34.5197,279,15,-322.9551,9951.17,0.099911,-0.003243,mr_etf
2023-03-01 00:00:00+00:00,2023-03-10 00:00:00+00:00,XLV,126.6413,123.8352,78,9,-219.6546,9878.02,0.099433,-0.002211,mr_etf
2023-03-10 00:00:00+00:00,2023-03-10 00:00:00+00:00,IWM,180.5658,174.1913,54,0,-344.7622,9750.55,0.098706,-0.00349,mr_etf
2023-03-10 00:00:00+00:00,2023-03-13 00:00:00+00:00,XLF,33.1803,32.2944,298,3,-266.9759,9887.72,0.100094,-0.002703,mr_etf
2023-03-13 00:00:00+00:00,2023-03-22 00:00:00+00:00,SPY,382.1147,401.035,25,9,472.7575,9552.87,0.097532,0.004827,mr_etf
2023-03-13 00:00:00+00:00,2023-03-22 00:00:00+00:00,IVV,383.8053,402.9178,25,9,477.561,9595.13,0.097964,0.004876,mr_etf
2023-03-13 00:00:00+00:00,2023-03-22 00:00:00+00:00,VOO,351.0393,368.538,28,9,489.6836,9829.1,0.100352,0.005,mr_etf
2023-03-14 00:00:00+00:00,2023-03-22 00:00:00+00:00,HYG,73.7254,74.1721,132,8,57.6448,9731.75,0.098,0.00058,mr_etf
2023-03-13 00:00:00+00:00,2023-03-24 00:00:00+00:00,IWM,172.7087,168.3992,56,11,-241.893,9671.69,0.098745,-0.00247,mr_etf
2023-03-01 00:00:00+00:00,2023-03-27 00:00:00+00:00,XLP,71.8539,73.133,138,26,175.1342,9915.84,0.099814,0.001763,mr_etf
2023-03-10 00:00:00+00:00,2023-03-31 00:00:00+00:00,XLY,70.103,73.2427,141,21,441.2913,9884.52,0.100062,0.004467,mr_etf
2023-03-13 00:00:00+00:00,2023-03-31 00:00:00+00:00,VTI,191.0577,201.8108,51,18,547.8994,9743.94,0.099483,0.005594,mr_etf
2023-03-14 00:00:00+00:00,2023-04-04 00:00:00+00:00,XLF,32.8756,31.91,299,21,-291.7102,9829.81,0.098987,-0.002938,mr_etf
2023-04-26 00:00:00+00:00,2023-04-27 00:00:00+00:00,XLK,73.3088,74.0875,136,1,104.5515,9969.99,0.099545,0.001044,mr_etf
2023-04-27 00:00:00+00:00,2023-05-01 00:00:00+00:00,IWM,172.1854,176.1286,58,4,228.1212,9986.76,0.099156,0.002265,mr_etf
2023-04-26 00:00:00+00:00,2023-05-05 00:00:00+00:00,EEM,38.6829,39.3578,259,9,172.2067,10018.86,0.100033,0.001719,mr_etf
2023-05-19 00:00:00+00:00,2023-05-23 00:00:00+00:00,XLP,76.065,74.434,132,4,-216.6137,10040.58,0.099484,-0.002146,mr_etf
2023-05-12 00:00:00+00:00,2023-05-24 00:00:00+00:00,SLV,22.085,21.179,455,12,-416.8039,10048.68,0.09989,-0.004143,mr_etf
2023-05-17 00:00:00+00:00,2023-05-25 00:00:00+00:00,XLV,131.1503,127.9766,76,8,-241.9612,9967.42,0.099001,-0.002403,mr_etf
2023-05-24 00:00:00+00:00,2023-05-25 00:00:00+00:00,XLP,74.286,72.743,135,1,-209.6583,10028.61,0.100497,-0.002101,mr_etf
2023-05-19 00:00:00+00:00,2023-05-26 00:00:00+00:00,AGG,98.1566,97.216,102,7,-96.9523,10011.97,0.099201,-0.000961,mr_etf
2023-05-19 00:00:00+00:00,2023-05-26 00:00:00+00:00,BND,72.7398,72.0622,138,7,-94.8918,10038.09,0.09946,-0.00094,mr_etf
2023-05-25 00:00:00+00:00,2023-05-31 00:00:00+00:00,EFA,71.545,70.1028,139,6,-201.8648,9944.76,0.100275,-0.002035,mr_etf
2023-05-17 00:00:00+00:00,2023-06-02 00:00:00+00:00,HYG,73.9829,74.687,135,16,93.6929,9987.7,0.099202,0.000931,mr_etf
2023-05-26 00:00:00+00:00,2023-06-15 00:00:00+00:00,XLV,127.7434,131.8225,77,20,313.3206,9836.24,0.098904,0.00315,mr_etf
